# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  135       5.228930797460e-10       1.501074796268e-13      -5.805408786916e-12       0.000000000000e+00       4.464437504202e-12       7.725979995390e-13      -4.810235164849e-15 
  136       5.275658514806e-10       1.503998945767e-13      -5.853060879627e-12       0.000000000000e+00       4.373062433393e-12       7.605953698374e-13      -4.741857534367e-15 
  137       5.322314322399e-10       1.506254941605e-13      -5.898246846740e-12       0.000000000000e+00       4.283825695912e-12       7.488640918553e-13      -4.675287816633e-15 
  138       5.368887597855e-10       1.507841783487e-13      -5.940905367641e-12       0.000000000000e+00       4.196702274941e-12       7.374006039601e-13      -4.610479618380e-15 
  139       5.415368600381e-10       1.508759562422e-13      -5.980976664319e-12       0.000000000000e+00       4.111699816251e-12       7.262028618544e-13      -4.547320343246e-15 
  140       5.461747116474e-10       1.509009207933e-13      -6.018401947163e-12       0.000000000000e+00       4.028817711301e-12       7.152675170786e-13      -4.485683584600e-15 
  141       5.508012448632e-10       1.508592505826e-13      -6.053123454528e-12       0.000000000000e+00       3.948046881395e-12       7.045898841677e-13      -4.425428820483e-15 
  142       5.554153404081e-10       1.507512115966e-13      -6.085084492301e-12       0.000000000000e+00       3.869369561841e-12       6.941639078092e-13      -4.366401108545e-15 
  143       5.600158283489e-10       1.505771590049e-13      -6.114229473470e-12       0.000000000000e+00       3.792759086102e-12       6.839821300000e-13      -4.308430780980e-15 
  144       5.646014869687e-10       1.503375389380e-13      -6.140503957688e-12       0.000000000000e+00       3.718179669955e-12       6.740356572037e-13      -4.251333139473e-15 
  145       5.691710416391e-10       1.500328902641e-13      -6.163854690840e-12       0.000000000000e+00       3.645586195645e-12       6.643141275085e-13      -4.194908150129e-15 
  146       5.737231636919e-10       1.496638463671e-13      -6.184229644613e-12       0.000000000000e+00       3.574923996042e-12       6.548056777836e-13      -4.138940138420e-15 
  147       5.782564692908e-10       1.492311369235e-13      -6.201578056059e-12       0.000000000000e+00       3.506128638794e-12       6.454969108374e-13      -4.083197484118e-15 
  148       5.827695183039e-10       1.487355896802e-13      -6.215850467164e-12       0.000000000000e+00       3.439125710485e-12       6.363728625744e-13      -4.027432316235e-15 
  149       5.872608131753e-10       1.481781322317e-13      -6.226998764413e-12       0.000000000000e+00       3.373830600791e-12       6.274169691526e-13      -3.971380207961e-15 
  150       5.917287977971e-10       1.475597937975e-13      -6.234976218358e-12       0.000000000000e+00       3.310148286634e-12       6.186110341406e-13      -3.914759871607e-15 
